user_id,week_year,num_ascolti_totali,num_ascolti_artista
0m3rt4,2012/40,34,11
0m3rt4,2012/41,22,2
0m3rt4,2012/44,43,0
0m3rt4,2012/50,9,0
0m3rt4,2012/52,9,0
0m3rt4,2013/03,7,0
0m3rt4,2013/22,7,0
3soTeriC,2008/36,10,0
3soTeriC,2008/39,1,0
3soTeriC,2009/06,1,0
3soTeriC,2009/09,17,3
3soTeriC,2009/14,16,0
3soTeriC,2009/20,4,0
3soTeriC,2009/21,1,0
3soTeriC,2009/26,1,0
3soTeriC,2009/27,1,0
3soTeriC,2009/28,2,0
3soTeriC,2009/31,11,0
3soTeriC,2009/32,6,0
3soTeriC,2009/39,1,0
3soTeriC,2009/43,1,0
3soTeriC,2009/47,1,0
3soTeriC,2009/53,1,0
3soTeriC,2010/03,1,0
3soTeriC,2010/06,19,1
3soTeriC,2010/07,1,0
3soTeriC,2010/08,1,0
3soTeriC,2010/11,14,0
3soTeriC,2011/12,13,10
3soTeriC,2011/13,21,1
3soTeriC,2012/25,25,1
666Spawn,2009/22,14,0
666Spawn,2009/23,8,0
666Spawn,2009/24,12,0
666Spawn,2009/25,2,0
666Spawn,2009/26,5,0
666Spawn,2009/27,14,6
666Spawn,2009/29,9,0
666Spawn,2009/37,21,5
666Spawn,2009/39,25,3
666Spawn,2009/40,10,0
666Spawn,2009/53,15,8
666Spawn,2010/01,3,0
666Spawn,2010/15,13,2
AlexDrake,2015/17,15,1
AlexDrake,2015/27,32,2
AlexDrake,2015/29,19,3
AlexDrake,2015/30,2,0
AlexDrake,2015/31,31,11
AlexDrake,2015/32,33,1
AlexDrake,2015/53,2,0
AliciaSumpter,2013/08,3,2
AliciaSumpter,2013/09,7,2
AliciaSumpter,2013/10,7,0
AliciaSumpter,2013/11,8,4
AliciaSumpter,2013/13,8,0
AliciaSumpter,2013/14,17,0
AliciaSumpter,2013/15,2,0
AliciaSumpter,2013/16,5,0
AliciaSumpter,2013/17,2,0
AliciaSumpter,2013/18,4,0
AliciaSumpter,2013/19,5,0
AliciaSumpter,2013/22,15,1
AliciaSumpter,2013/25,1,0
AliciaSumpter,2013/26,7,1
AliciaSumpter,2013/29,1,0
AliciaSumpter,2013/30,1,0
AliciaSumpter,2013/33,2,0
AliciaSumpter,2013/40,1,0
AliciaSumpter,2013/42,2,0
AliciaSumpter,2013/43,1,0
AliciaSumpter,2013/45,9,0
AliciaSumpter,2013/49,2,0
AliciaSumpter,2014/07,3,0
AliciaSumpter,2014/08,2,1
AliciaSumpter,2014/11,3,1
AliciaSumpter,2014/12,8,0
AliciaSumpter,2014/14,2,0
AliciaSumpter,2014/15,2,0
AliciaSumpter,2014/23,3,0
Alza_Corp,2009/53,6,2
Alza_Corp,2010/01,101,15
Alza_Corp,2010/11,13,1
Alza_Corp,2010/12,6,0
Alza_Corp,2010/13,7,0
Alza_Corp,2010/16,1,0
