user_id,degree_initial_network
missstressuk,41
rajaround,7
bigwillyjhonson,5
pointbmusic,23
nadnad,30
fordred,36
swinton,28
Dreamer_uk,5
toafriend,43
zoneD100,23
MtotheE,1
KyleHolloway,48
showerofsparks,61
darefordistance,33
charlottengland,7
IsaacKingsley91,6
Cyberpunk_Edd,6
shmoo75,7
scarlettolivia,1
unreal16,14
gemma-lilly,134
mutantenemy2008,2
TrustDrew,13
chlaa,15
slogankid1,37
crime-s,17
ShockSim,69
JJBDude,44
anzsucks,7
ruda_alice,103
skin5146,4
briancopeland,2
box_twenty,10
brokenboots,1
PhiliumM,151
DruggedUnholy,85
interchris,19
thegingerswan,6
ihustleeveryday,22
Bravetart,50
shotkennedy,48
missemziee,61
djmagick,42
ictmeoy,35
interroboing,10
rubbishfm,3
Vlismas,93
JosieButts,5
starletdust,52
AndyRobinson,10
Suchodyl,20
CallG,15
SocietyInFlames,10
mytsunamibomb,30
stevec77,37
POSTMANTICORE,18
willj56,38
benjax78,11
EllaDarling29,37
MattOx27,16
issydacre89,8
leb0fh,3
SilverBurch,9
lee-john71,1
teh_xtrmntr,108
BoyGreen,10
machv,67
Donalddd,1
saber1121,5
daverosthorn,23
thedannyb1,4
PlatinumBollock,8
blugoogirl,35
marc225,1
deadgrave,7
hannahpanda,56
vickiivanityy,33
MarcFowler,9
Ifz-1994,14
onetenthhero,30
whycantitouchit,36
Meusli,27
FoxyCoxyYEH,89
davids2002,116
Dave1406,4
Ambalina,190
tictok,6
BrokenTelephone,225
thepinch,8
LordPorksword,30
AusraEB,24
Thing-1,40
steven-shambles,46
murray_innes,22
joemadethis,110
BelleVENOM,85
Plainsimplejess,27
DeadStarErased,20
JefficaH,6
Davieb89,12
rexxxor,7
SaraLloydKnibbs,48
BlindMatoya,19
chrismaguire,42
__shadowboxer,13
dave203,183
RuchSpencer,21
afro_cougar,4
bekful,21
Farhadd,13
DanBuckler,12
WolfJoshua,1
thedailygrowl,145
Astron_Y,13
ThomasSCUM,21
subvert_city,58
