user_id,week_year,num_ascolti_totali,num_ascolti_artista,artisti_univoci,generi_univoci
--Seph,2008/24,1,0,1,1
--Seph,2008/25,5,0,3,3
--Seph,2008/33,2,0,2,2
--Seph,2008/36,9,0,7,6
--Seph,2008/41,6,0,4,3
--Seph,2008/44,2,0,2,1
--Seph,2008/46,6,0,6,4
--Seph,2008/47,21,1,15,10
--Seph,2008/49,10,0,10,5
--Seph,2010/37,13,0,12,8
--Seph,2010/38,8,0,8,6
--Seph,2010/46,3,0,3,3
--Seph,2010/47,64,0,53,23
--Seph,2010/49,2,0,2,2
--Seph,2010/50,5,0,5,3
--Seph,2011/04,3,0,3,3
--Shinn--,2015/14,25,1,24,7
--Shinn--,2015/16,23,2,20,9
--Shinn--,2015/17,3,0,3,2
--Shinn--,2015/18,2,0,2,2
--Shinn--,2015/19,15,1,15,7
--Shinn--,2015/32,13,0,1,1
--Shinn--,2015/33,11,0,2,2
--Shinn--,2015/34,2,0,2,2
--Shinn--,2015/36,5,0,5,3
--Shinn--,2015/43,15,0,2,1
-Faction-,2016/11,14,0,5,5
-Faction-,2016/12,84,1,27,13
-Faction-,2016/13,55,0,36,21
-Kol-,2016/06,16,0,14,10
-Kol-,2016/07,3,0,2,2
-Kol-,2016/08,17,0,17,12
-Kol-,2016/09,33,1,28,12
-Kol-,2016/10,42,0,20,13
-Kol-,2016/11,22,0,18,10
-Kol-,2016/12,17,0,16,11
-Kol-,2016/13,12,0,10,7
-Kol-,2016/14,11,0,9,5
-Putty-,2016/13,71,0,6,1
-Putty-,2016/14,73,19,8,6
-mole-,2013/45,59,0,45,17
-mole-,2013/52,8,1,8,4
-mole-,2014/23,17,0,15,7
-mole-,2014/24,11,0,9,5
-mole-,2014/40,15,0,7,3
-wasp-,2012/34,7,0,6,5
-wasp-,2012/35,1,0,1,1
-wasp-,2012/38,23,0,23,14
-wasp-,2012/42,95,1,41,23
-wasp-,2013/17,19,0,18,7
05thouldm,2009/43,47,0,27,13
05thouldm,2009/44,2,0,2,2
05thouldm,2009/45,7,0,7,7
05thouldm,2009/47,4,0,2,2
05thouldm,2009/48,1,0,1,1
05thouldm,2009/52,41,2,33,15
05thouldm,2009/53,52,0,43,15
05thouldm,2010/24,1,0,1,1
0m3rt4,2012/40,34,11,11,6
0m3rt4,2012/41,22,2,21,12
0m3rt4,2012/44,43,0,43,12
0m3rt4,2012/50,9,0,2,2
0m3rt4,2012/52,9,0,1,1
0m3rt4,2013/03,7,0,2,2
0m3rt4,2013/22,7,0,7,6
0urobouro5,2015/29,3,3,1,1
0urobouro5,2015/31,10,0,1,1
0urobouro5,2015/47,5,0,1,1
0urobouro5,2015/48,11,0,2,2
0urobouro5,2015/50,6,0,1,1
0urobouro5,2016/08,25,0,1,1
0urobouro5,2016/09,8,0,6,3
0urobouro5,2016/12,23,0,15,7
0xenolith0,2016/02,32,0,31,12
0xenolith0,2016/03,46,0,43,15
0xenolith0,2016/04,44,1,40,16
10bobrevolution,2013/05,59,0,54,19
10bobrevolution,2013/07,18,0,15,11
10bobrevolution,2013/29,7,0,2,2
10bobrevolution,2014/03,52,1,30,10
10bobrevolution,2014/28,27,0,17,6
1337Chris,2016/05,71,1,29,9
1337Chris,2016/06,22,0,7,2
1337Chris,2016/09,1,0,1,1
1337Chris,2016/11,31,0,12,6
1337Chris,2016/12,62,0,23,7
138sp,2016/11,13,0,10,6
138sp,2016/12,126,1,63,23
1936,2016/11,103,1,57,27
1936,2016/12,27,0,9,7
1davey_darko,2010/18,113,2,35,10
1davey_darko,2010/19,45,2,8,5
1side0,2016/04,91,0,10,8
1side0,2016/07,15,0,4,4
1side0,2016/08,14,0,1,1
1side0,2016/10,21,1,21,12
1side0,2016/11,1,0,1,1
26069039,2016/10,11,0,11,8
26069039,2016/11,43,0,27,18
26069039,2016/12,90,1,73,24
3mkay,2009/36,59,1,49,18
3mkay,2009/37,82,1,41,9
3mkay,2009/38,1,0,1,1
3mkay,2009/48,16,0,12,6
3mkay,2009/50,3,0,2,1
3mkay,2010/03,1,0,1,1
3mkay,2010/06,1,0,1,1
3soTeriC,2008/36,10,0,10,4
3soTeriC,2008/39,1,0,1,1
3soTeriC,2009/06,1,0,1,1
3soTeriC,2009/09,17,3,11,5
3soTeriC,2009/14,16,0,15,6
3soTeriC,2009/20,4,0,1,1
3soTeriC,2009/21,1,0,1,1
3soTeriC,2009/26,1,0,1,1
3soTeriC,2009/27,1,0,1,1
3soTeriC,2009/28,2,0,2,2
3soTeriC,2009/31,11,0,11,3
3soTeriC,2009/32,6,0,2,1
3soTeriC,2009/39,1,0,1,1
3soTeriC,2009/43,1,0,1,1
3soTeriC,2009/47,1,0,1,1
3soTeriC,2009/53,1,0,1,1
3soTeriC,2010/03,1,0,1,1
3soTeriC,2010/06,19,1,18,6
3soTeriC,2010/07,1,0,1,1
3soTeriC,2010/08,1,0,1,1
3soTeriC,2010/11,14,0,4,3
3soTeriC,2011/12,13,10,4,1
3soTeriC,2011/13,21,1,20,6
3soTeriC,2012/25,25,1,18,7
