user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci
--Seph,160,1,16,1,128,46
--Shinn--,114,4,10,3,63,19
-Faction-,153,1,3,1,66,29
-Kol-,173,1,9,1,86,32
-Putty-,144,19,2,1,13,6
-mole-,110,1,5,1,69,20
-wasp-,145,1,5,1,74,31
05thouldm,155,2,8,1,100,31
0m3rt4,131,13,7,2,78,24
0urobouro5,91,3,8,1,23,7
0xenolith0,122,1,3,1,105,24
10bobrevolution,163,1,5,1,108,29
1337Chris,187,1,5,1,68,16
138sp,139,1,2,1,73,25
1936,130,1,2,1,63,28
1davey_darko,158,4,2,2,37,11
1side0,142,1,5,1,36,18
26069039,144,1,3,1,107,36
3mkay,163,2,7,2,85,23
3soTeriC,170,16,24,5,88,23
41tomS,152,5,8,2,46,13
42gillian,155,1,18,1,127,39
4823,129,1,7,1,94,36
4dayweekend,90,1,2,1,47,18
5ebb0,164,1,6,1,101,41
616thirteen,132,1,4,1,29,12
666Spawn,151,24,13,5,38,11
66split,178,1,5,1,87,22
714076,180,3,2,2,113,27
A-K----,109,14,8,2,6,6
ABSOTiRO,112,5,5,1,78,22
ABadDayForJari,151,2,10,2,41,14
ACrackedSmile,155,1,3,1,72,18
AG-Spike,104,1,2,1,93,31
AJ1AJ,155,3,9,2,116,35
AJohnDoe,182,2,1,1,105,35
ARRANRP,181,1,1,1,148,35
ARhodes123,132,4,12,2,95,27
ATDent,45,1,7,1,20,10
AVFC1969,118,1,5,1,78,13
Abbilina,118,5,8,3,53,20
AbbyGeorgeson,105,3,2,1,50,21
Abstract_Ellie,111,1,15,1,70,25
AcaciaBrown,68,2,8,1,37,11
Acciomoose,153,1,15,1,89,30
Aceinthepack,170,1,10,1,24,7
Achtung_Baby,194,14,8,1,34,13
Acquiescence,75,1,4,1,20,13
Actorbaybee,112,4,3,2,58,20
ActualSound,172,1,9,1,54,18
Ad_C,183,2,1,1,135,29
AdachiBaby,130,8,2,1,50,19
Adam1988innit,191,7,1,1,54,22
Adam85Hewson,186,3,4,2,80,34
AdamParker1986,98,2,3,2,15,5
AdamRawrr,91,1,2,1,22,11
AdamTJ1992,174,3,16,2,107,35
Adie_A7X,94,2,5,2,52,17
AdrianKrzywon,161,5,1,1,107,24
Adsar,142,1,7,1,64,24
Adsquan,129,3,16,2,36,16
AdulteratedJedi,84,1,4,1,21,8
Adunakhyr,166,1,7,1,138,44
Advent_Child,139,1,7,1,76,28
Adzyboy,164,1,2,1,56,27
Aelthar,128,1,3,1,26,9
AeneasVsTurnus,170,2,10,2,111,29
AeonsRemain,168,5,7,2,136,41
Aeris_El_Oso,122,1,30,1,40,28
Affliction18,187,1,5,1,88,16
AfroBoyy,162,3,10,1,65,26
Afrojenks,54,1,9,1,21,11
AgentMilkshake1,153,3,10,1,31,12
Agent_0range,186,2,2,1,75,24
AimeeKing94,141,11,6,1,37,13
Aims_rose18,90,1,6,1,30,17
Aimz666,146,8,6,3,83,22
Ains_shir,125,1,7,1,90,17
AintGotNoFace,108,2,5,1,71,22
Airbornsock,169,3,2,2,30,13
Airhead1963,127,1,9,1,84,24
Ajay_0092,152,1,15,1,64,17
Ajayrious,133,8,8,2,79,23
Ajescent,148,1,7,1,127,37
Akemi69,135,6,3,2,69,34
Al8587,183,1,3,1,112,32
Al_Logan,166,3,2,1,42,15
Alboradaa,179,2,5,1,140,43
