user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci
--Seph,160,1,16,1,128,46
--Shinn--,114,4,10,3,63,19
--ladyluck--,118,0,3,0,51,24
--mopsi--,83,0,1,0,81,34
--ollz--,135,0,11,0,59,19
--tomB--,180,0,7,0,26,18
-Amnesiac-,117,0,3,0,6,3
-Bald-,157,0,6,0,15,11
-Barney-,162,0,11,0,16,12
-Bevan-,93,0,5,0,79,28
-Bish-,137,0,4,0,49,16
-Danni-,70,0,8,0,54,12
-DeWp,175,0,5,0,133,18
-Destructo-,171,0,3,0,103,29
-Faction-,153,1,3,1,66,29
-February-Star-,98,0,7,0,28,11
-Gemma-,134,0,2,0,21,14
-Gingergirl-,161,0,1,0,62,28
-Hazel-,90,0,7,0,55,24
-Heiko-,91,0,11,0,79,36
-InsertNameHere,155,0,5,0,57,9
-Jane-,164,0,4,0,49,20
-Katie,140,0,6,0,49,22
-Kol-,173,1,9,1,86,32
-Krystal-,111,0,5,0,21,7
-Mark-,162,0,6,0,98,26
-Messiah,55,0,5,0,14,8
-Mullet-,141,0,12,0,43,25
-Nocturnus-,174,0,12,0,49,27
-Paddington-,112,0,2,0,16,6
-Putty-,144,19,2,1,13,6
-Robs,174,0,2,0,139,39
-SleepingStar-,62,0,3,0,9,5
-Stifler-,164,0,5,0,36,10
-Toad-,116,0,1,0,37,13
-Toxic-Waste-,153,0,13,0,24,12
-Trail-,154,0,5,0,29,13
-TwoHeadedBoy-,96,0,8,0,46,21
-Yoshi-,138,0,4,0,26,11
-allniceonice,60,0,3,0,18,12
-bubbles-,139,0,3,0,40,20
-child-in-time-,169,0,2,0,97,32
-chloayy,148,0,5,0,77,21
-citric-,86,0,9,0,28,13
-girlafraid-,95,0,12,0,18,10
-haha-,171,0,22,0,74,24
-indianaaa,53,0,10,0,28,12
-invinoveritas-,126,0,12,0,32,18
-jc-,103,0,1,0,14,13
-laura,141,0,5,0,26,14
-maikeru-,167,0,10,0,107,19
-mole-,110,1,5,1,69,20
-rosie-,167,0,5,0,80,29
-shauna-,158,0,5,0,60,18
-silent-ninja-,94,0,2,0,9,7
-snowandlights,100,0,2,0,12,10
-soulfly1983-,123,0,2,0,9,4
-sssh-,128,0,17,0,56,21
-stuart-,154,0,2,0,19,7
-twistedlogic,123,0,23,0,40,22
-vaya-,150,0,4,0,36,21
-wasp-,145,1,5,1,74,31
-weebee-,182,0,7,0,63,17
-x-emo-cakes-x-,153,0,12,0,109,24
-x-kelsey-x-,151,0,20,0,115,24
-xFORSAKEN,62,0,4,0,21,10
-yourheartbeat-,42,0,3,0,31,21
000Silenced,184,0,13,0,109,34
004545,6,0,4,0,6,3
00Lemon,162,0,3,0,97,32
00TrompeLeMonde,142,0,7,0,100,33
00bob00,175,0,13,0,39,21
00fieldsy,177,0,20,0,105,27
00jamez,85,0,2,0,18,9
00williamsj,107,0,8,0,43,14
00williamsl,154,0,10,0,83,17
01Green,117,0,1,0,19,7
01dela,145,0,36,0,118,39
01higginsr,186,0,16,0,87,10
01kaputnik,161,0,6,0,35,15
01rwsouthgate,146,0,10,0,70,20
01smicha,194,0,4,0,118,34
01srainey,178,0,2,0,126,39
02styles91,165,0,2,0,49,21
03swalker,84,0,9,0,54,23
0502008,159,0,7,0,100,26
0503611,196,0,4,0,116,22
05thouldm,155,2,8,1,100,31
06sullivang,155,0,12,0,75,25
