user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci,degree_initial_network,num_amici,quota_amici_artista,friends_num_ascolti_totali,friends_num_ascolti_artista,friends_settimane_totali,friends_settimane_artista,churn,reason
0m3rt4,131.0,13.0,7.0,2.0,78.0,24.0,20,4.0,0.5,141.0,9.25,6.5,0.75,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
3soTeriC,170.0,16.0,24.0,5.0,88.0,23.0,8,4.0,0.5,149.0,0.5,5.25,0.5,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
666Spawn,151.0,24.0,13.0,5.0,38.0,11.0,5,4.0,0.5,160.25,2.25,8.5,0.75,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
AlexDrake,134.0,18.0,7.0,5.0,63.0,21.0,47,28.0,0.214285714286,124.714285714,0.392857142857,6.5,0.25,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
AliciaSumpter,133.0,12.0,29.0,7.0,48.0,20.0,10,6.0,0.166666666667,152.833333333,0.166666666667,6.16666666667,0.166666666667,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Alza_Corp,165.0,18.0,11.0,3.0,59.0,19.0,3,0,0,0,0,0,0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Andy_Cliff,173.0,11.0,21.0,4.0,113.0,32.0,5,2.0,0.0,173.0,0.0,3.5,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Ash568,144.0,10.0,9.0,3.0,43.0,19.0,8,5.0,0.2,147.6,0.2,6.0,0.2,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Ashimar,143.0,18.0,15.0,15.0,38.0,12.0,7,3.0,0.333333333333,173.333333333,0.333333333333,4.33333333333,0.333333333333,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Aurora7804,169.0,15.0,6.0,2.0,89.0,26.0,11,1.0,0.0,111.0,0.0,4.0,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
BENecol,176.0,15.0,11.0,4.0,54.0,21.0,53,29.0,0.206896551724,141.379310345,1.20689655172,7.27586206897,0.448275862069,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
BethTomlinson,134.0,22.0,10.0,3.0,63.0,23.0,10,10.0,0.1,152.5,0.1,7.2,0.1,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
BlueDwaggin,156.0,24.0,5.0,4.0,30.0,14.0,40,14.0,0.0714285714286,131.785714286,0.571428571429,7.5,0.142857142857,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Bobbyroana,138.0,22.0,7.0,4.0,29.0,15.0,12,4.0,0.25,151.5,1.75,4.25,0.25,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
BomBadillic,150.0,10.0,4.0,2.0,83.0,26.0,14,2.0,0.5,65.5,0.5,7.5,0.5,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
Brandon-rocks,135.0,48.0,5.0,2.0,17.0,10.0,38,4.0,0.5,107.25,1.5,6.75,0.75,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
BrandonCourage,146.0,11.0,4.0,2.0,17.0,10.0,4,3.0,0.333333333333,127.333333333,1.66666666667,5.66666666667,0.666666666667,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
Burtinator,171.0,21.0,12.0,6.0,47.0,16.0,2,2.0,0.0,65.0,0.0,3.5,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
CantFoolOwls,163.0,11.0,6.0,2.0,58.0,16.0,14,8.0,0.5,138.875,1.0,5.75,0.75,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
CieleFu,138.0,11.0,9.0,5.0,69.0,25.0,13,7.0,0.0,160.571428571,0.0,7.57142857143,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Craig450,139.0,11.0,6.0,2.0,44.0,11.0,6,6.0,0.166666666667,106.833333333,0.333333333333,7.0,0.166666666667,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
CrimsonCheeks27,166.0,12.0,4.0,2.0,77.0,30.0,10,4.0,0.25,145.0,0.5,9.5,0.5,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
Da1e,143.0,24.0,10.0,5.0,64.0,19.0,11,3.0,0.0,117.333333333,0.0,10.0,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Daren68,148.0,18.0,4.0,4.0,46.0,10.0,9,5.0,0.0,146.4,0.0,5.8,0.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
DarthDan,180.0,13.0,5.0,2.0,65.0,21.0,4,2.0,0.0,151.5,0.0,9.5,0.0,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
DeanoMachino,178.0,11.0,5.0,4.0,94.0,29.0,11,5.0,0.4,130.2,2.2,4.8,0.4,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Demigod1993,148.0,10.0,5.0,2.0,26.0,11.0,35,8.0,0.0,120.125,0.0,7.0,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
DiabloLiam1212,148.0,14.0,14.0,3.0,49.0,13.0,2,2.0,0.0,118.5,0.0,3.0,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Disasterplan,137.0,26.0,5.0,3.0,71.0,23.0,79,24.0,0.0416666666667,127.583333333,0.458333333333,5.125,0.0416666666667,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Doyle-Doyle,151.0,26.0,6.0,2.0,42.0,21.0,67,10.0,0.1,137.7,0.3,7.0,0.1,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
EmergencyExit,143.0,29.0,5.0,2.0,29.0,9.0,17,6.0,0.166666666667,128.333333333,0.833333333333,7.5,0.166666666667,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
EmiweeHale,159.0,24.0,12.0,3.0,24.0,9.0,6,2.0,1.0,140.0,6.5,3.0,1.5,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
FUNKmillitia,156.0,11.0,8.0,2.0,71.0,18.0,8,2.0,0.0,92.0,0.0,3.5,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Gareeh,162.0,14.0,7.0,3.0,35.0,17.0,66,25.0,0.16,102.44,1.16,6.08,0.28,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Grace_Ox,157.0,17.0,5.0,3.0,68.0,24.0,120,15.0,0.666666666667,103.133333333,2.33333333333,5.53333333333,0.8,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
Groovurism,132.0,13.0,4.0,4.0,89.0,26.0,12,9.0,0.444444444444,127.333333333,2.22222222222,9.0,0.888888888889,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
HenryBaines,180.0,14.0,13.0,3.0,60.0,19.0,33,16.0,0.0625,129.5625,0.1875,6.3125,0.1875,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
HetJammin,179.0,12.0,4.0,3.0,56.0,16.0,16,7.0,0.428571428571,135.571428571,0.857142857143,5.57142857143,0.428571428571,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
IYW,136.0,15.0,4.0,2.0,34.0,12.0,7,3.0,0.333333333333,129.333333333,2.66666666667,3.0,0.666666666667,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Jazzy_hall,149.0,21.0,7.0,2.0,59.0,26.0,7,7.0,0.0,132.714285714,0.0,6.71428571429,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Jimbob3005,144.0,34.0,4.0,4.0,35.0,14.0,14,1.0,0.0,76.0,0.0,2.0,0.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Jmoqueen,173.0,30.0,15.0,4.0,74.0,20.0,20,5.0,0.4,153.6,0.8,3.0,0.4,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
Joe120,148.0,28.0,11.0,5.0,52.0,23.0,39,7.0,0.0,109.571428571,0.0,4.28571428571,0.0,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Kaeroll,156.0,23.0,4.0,3.0,51.0,16.0,15,9.0,0.111111111111,125.111111111,0.111111111111,4.77777777778,0.111111111111,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Kal-Faegan,176.0,10.0,4.0,3.0,28.0,19.0,2,1.0,0.0,42.0,0.0,4.0,0.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Kelvin7,143.0,25.0,8.0,2.0,8.0,2.0,37,3.0,0.333333333333,108.666666667,1.33333333333,2.66666666667,0.333333333333,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Kennethcml,152.0,12.0,7.0,2.0,20.0,9.0,42,17.0,0.235294117647,120.705882353,0.941176470588,6.11764705882,0.235294117647,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Kirsteek,137.0,25.0,6.0,4.0,62.0,18.0,42,12.0,0.416666666667,109.666666667,2.25,6.25,0.833333333333,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Kung-Fu_Devil,143.0,12.0,16.0,5.0,66.0,22.0,21,11.0,0.0909090909091,127.636363636,0.0909090909091,9.72727272727,0.0909090909091,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Laceyful,159.0,12.0,7.0,3.0,47.0,20.0,6,3.0,0.333333333333,98.3333333333,1.0,4.66666666667,0.333333333333,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Lenatalia,147.0,45.0,15.0,8.0,45.0,15.0,12,3.0,0.666666666667,143.666666667,1.33333333333,9.66666666667,1.33333333333,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
LibraryMatt,175.0,16.0,4.0,3.0,35.0,17.0,1,1.0,0.0,169.0,0.0,4.0,0.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
LilSparkliBunni,163.0,16.0,10.0,3.0,52.0,20.0,19,7.0,0.142857142857,139.857142857,0.142857142857,5.0,0.142857142857,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
