user_id,num_ascolti_totali,settimane_totali,artisti_univoci,generi_univoci,indie rock,rock,pop,metal,electronic,hip pop,indie,r&b,punk,folk,altro
--mopsi--,83,1,81.0,34.0,0.05,0.23,0.27,0.0,0.1,0.0,0.08,0.01,0.0,0.02,0.24
-Amnesiac-,117,3,6.0,3.0,0.0,0.31,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Bald-,157,6,15.0,11.0,0.0,0.17,0.08,0.07,0.0,0.0,0.2,0.0,0.0,0.0,0.48
-Bish-,137,4,49.0,16.0,0.0,0.69,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.01,0.17
-Destructo-,171,3,103.0,29.0,0.0,0.45,0.03,0.09,0.01,0.0,0.0,0.0,0.04,0.0,0.37
-Faction-,153,3,66.0,29.0,0.01,0.32,0.15,0.03,0.08,0.0,0.0,0.01,0.01,0.0,0.4
-Gemma-,134,2,21.0,14.0,0.24,0.07,0.17,0.0,0.0,0.0,0.12,0.0,0.16,0.0,0.24
-Gingergirl-,161,1,62.0,28.0,0.02,0.03,0.17,0.0,0.06,0.0,0.01,0.06,0.0,0.02,0.63
-Heiko-,91,11,79.0,36.0,0.01,0.03,0.21,0.0,0.1,0.0,0.04,0.01,0.03,0.07,0.49
-Kol-,173,9,86.0,32.0,0.01,0.32,0.1,0.28,0.01,0.0,0.0,0.0,0.02,0.0,0.26
-Nocturnus-,174,12,49.0,27.0,0.01,0.07,0.03,0.18,0.01,0.0,0.0,0.0,0.01,0.54,0.15
-Putty-,144,2,13.0,6.0,0.0,0.74,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.08
-Robs,174,2,139.0,39.0,0.01,0.24,0.04,0.01,0.14,0.0,0.0,0.03,0.0,0.02,0.52
-SleepingStar-,62,3,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Trail-,154,5,29.0,13.0,0.0,0.53,0.19,0.0,0.0,0.0,0.0,0.04,0.03,0.01,0.2
-allniceonice,60,3,18.0,12.0,0.0,0.25,0.1,0.0,0.08,0.0,0.02,0.0,0.02,0.02,0.52
-child-in-time-,169,2,97.0,32.0,0.02,0.2,0.05,0.17,0.0,0.0,0.01,0.02,0.02,0.01,0.51
-jc-,103,1,14.0,13.0,0.01,0.37,0.17,0.0,0.13,0.0,0.02,0.0,0.07,0.0,0.24
-shauna-,158,5,60.0,18.0,0.07,0.05,0.09,0.0,0.06,0.0,0.06,0.0,0.01,0.23,0.43
-snowandlights,100,2,12.0,10.0,0.08,0.01,0.0,0.03,0.13,0.0,0.0,0.01,0.0,0.0,0.74
-x-kelsey-x-,151,20,115.0,24.0,0.0,0.19,0.48,0.0,0.01,0.0,0.0,0.09,0.01,0.0,0.23
-xFORSAKEN,62,4,21.0,10.0,0.4,0.13,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
00Lemon,162,3,97.0,32.0,0.0,0.46,0.06,0.01,0.01,0.0,0.0,0.02,0.08,0.01,0.36
00williamsj,107,8,43.0,14.0,0.11,0.23,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.23,0.37
01Green,117,1,19.0,7.0,0.0,0.01,0.87,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.11
01smicha,194,4,118.0,34.0,0.0,0.38,0.03,0.24,0.02,0.0,0.0,0.0,0.07,0.0,0.27
01srainey,178,2,126.0,39.0,0.04,0.15,0.2,0.01,0.05,0.0,0.04,0.06,0.0,0.11,0.34
0bvious,186,2,60.0,30.0,0.0,0.03,0.1,0.0,0.24,0.0,0.01,0.06,0.03,0.03,0.49
0mgz0rz,147,3,66.0,26.0,0.08,0.12,0.29,0.0,0.04,0.0,0.05,0.0,0.01,0.11,0.29
0munkey0,150,5,47.0,23.0,0.02,0.51,0.1,0.04,0.0,0.0,0.03,0.0,0.0,0.07,0.23
